Year,Quarter,Percentage
2015,Q1,63.224446786090624
2015,Q2,7.903055848261328
2015,Q3,13.593256059009484
2015,Q4,15.279241306638566
2016,Q1,53.64850976361768
2016,Q2,20.554984583761563
2016,Q3,10.38026721479959
2016,Q4,15.416238437821173
2017,Q1,53.08427454387489
2017,Q2,16.681146828844483
2017,Q3,15.030408340573414
2017,Q4,15.20417028670721
2018,Q1,40.62108690207864
2018,Q2,18.95817680941648
2018,Q3,20.98672677185074
2018,Q4,19.434009516654143
2019,Q1,45.0055617352614
2019,Q2,17.196885428253612
2019,Q3,15.862068965517242
2019,Q4,21.935483870967744
2020,Q1,41.40640741487004
2020,Q2,18.29538585532944
2020,Q3,17.952851098126132
2020,Q4,22.34535563167439
2021,Q1,41.98139025725233
2021,Q2,18.53676336434957
2021,Q3,17.91643860609378
2021,Q4,21.565407772304322
2022,Q1,44.98683055311677
2022,Q2,16.08428446005268
2022,Q3,17.225636523266022
2022,Q4,21.70324846356453
2023,Q1,55.2732707087959
2023,Q2,17.356959863364647
2023,Q3,15.392826643894109
2023,Q4,11.976942783945347
2024,Q1,57.26179463459759
2024,Q2,17.391304347826086
2024,Q3,14.662349676225716
2024,Q4,10.684551341350602
2025,Q1,46.90615709809401
2026,Q1,46.40739341957374
2025,Q2,18.891161795653375
2026,Q2,19.25393762414558
2025,Q3,17.519143560182556
2026,Q3,17.813481845681963
2025,Q4,16.68353754607017
2026,Q4,16.52518711059878